created_at,text,entities__hashtags__text,entities__hashtags__text,
Wed Nov 04 21:51:35 +0000 2015,Class fuckin lags,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:35 +0000 2015,It's only awkward if you make it akward,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:35 +0000 2015,شب خوش,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:35 +0000 2015,Video. Record. #losangeles @ LACMA Los Angeles County Museum of Art https://t.co/lrbZbeqhPk,losangeles,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:35 +0000 2015,"@TeamCavuto #ScottBrown ""backyard Barques"" #JBush &friendly crowd left to be attacked by #media When dropping out of Race?Why?Dems will win?",ScottBrown,,
,,JBush,,
,,media,,
,,,,
Wed Nov 04 21:51:35 +0000 2015,Me dancing to One Direction be like   IM LAUGHING   #UKVOTY1D #AMAs1D  https://t.co/zJUnmD9Z9Q,UKVOTY1D,,
,,AMAs1D,,
,,,,
,,,,
Wed Nov 04 21:51:37 +0000 2015,Photoshop part 2 🎞 https://t.co/b9zM0sDsMF,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:37 +0000 2015,@LisaFurioso but tbh we will have to take it easy because we have to run at 5am the next morning,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:38 +0000 2015,TELainka llama a Adele (Parte 2) https://t.co/9hnPgMVHz5,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:39 +0000 2015,"Can't wait to watch Adele crush ""Hello"" on the Grammy stage with a full orchestra.",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:39 +0000 2015,@lexismarinaaa 🤘🏿Always 🤘🏿,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:40 +0000 2015,#Repost megamedia with repostapp. It's that's time again #unite4good #wve #megamedia #setlife @… https://t.co/tcRe9SJ0lE,Repost,,
,,unite4good,,
,,wve,,
,,megamedia,,
,,setlife,,
Wed Nov 04 21:51:41 +0000 2015,I don't Facebook and am too irreverent to go around liking people with a button. Fav I grew into.,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:41 +0000 2015,@JleMD @CMIBS I'll check it out. Thanks!,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:41 +0000 2015,Fuck that bum bitch,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:41 +0000 2015,"@wordoffar6 so called black people in America have accepted the identity  that was given to them by the slave master, n-i-g-g-e-r",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:42 +0000 2015,Ay at least My cat is in love with me,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:43 +0000 2015,🚗 👩 https://t.co/xg1TOkbpWE,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:44 +0000 2015,@RachelRkcrw @acherrymary we're gonna be ok,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:45 +0000 2015,"@ToddDupler He's a sold pick too, sure!",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:46 +0000 2015,My mom has me dying right now 😂😂💀,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:47 +0000 2015,@JLynn76 sooner the better,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:47 +0000 2015,Excited to see my lolos and lolas at work!👴🏼👵🏼,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:48 +0000 2015,@CreepyPasta3221 @BloodedPinkie *opens my eyes* what is it darklight?,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:49 +0000 2015,Old downtown LA building  #DTLA #architecture https://t.co/nIpyQyHt8p,DTLA,,
,,architecture,,
,,,,
,,,,
Wed Nov 04 21:51:50 +0000 2015,Hahahah! Me when I used to drive my dads truck 😂😂😂😂😂 https://t.co/SpLvVGmhLg,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:50 +0000 2015,I really hate people that ride bikes/skateboards/scooters on campus,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:50 +0000 2015,"haha just kidding, I'm a saint.",,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:51 +0000 2015,@StreetArtepics @isp99 Great!,,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:51 +0000 2015,#SommCamp 2015 Alumni. Absolutely amazing trip. Thank you to all our… https://t.co/MfpoZbMn3D,SommCamp,,
,,,,
,,,,
,,,,
Wed Nov 04 21:51:51 +0000 2015,Liam can't find the camera .. I won't stop saying this joke😂   #9DaysUntilMITAM #AMAs1D https://t.co/rm3i4kWOaV,9DaysUntilMITAM,,
,,AMAs1D,,
,,,,
,,,,
Wed Nov 04 21:51:51 +0000 2015,@EstebanShando omg they are soooooooo good!,,,
,,,,
,,,,
,,,,
