created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:48:25 +0000 2015	I would like y'all to help me welcome this very special girl Yari to the Herbalife family!! I'm so… https://t.co/0lZmN5R2iV	"Coral Gables, Florida "						
								
								
								
Mon Nov 02 22:48:26 +0000 2015	If you abuse animals I hope you go to hell	null						
								
								
								
Mon Nov 02 22:48:26 +0000 2015	Social Media Marketing: Top 100 Influencers and Brands - onalytica https://t.co/K2qVXMEI9z (via juice.li) https://t.co/puZR0Tpmar	null						
								
								
								
Mon Nov 02 22:48:26 +0000 2015	#LaBeriso - #Ella ?	Olavarria - Berisero?	LaBeriso					
			Ella					
								
								
Mon Nov 02 22:48:27 +0000 2015	isso n é uma palavra	null						
								
								
								
Mon Nov 02 22:48:28 +0000 2015	Thank you baby ?? https://t.co/jonnXgJ6ny	Killadelphia						
								
								
								
Mon Nov 02 22:48:29 +0000 2015	Bron Stepdaddy is Wildin ?? https://t.co/hgrhf6Str8	Amongst The Elite						
								
								
								
Mon Nov 02 22:48:36 +0000 2015	@Andressa_Leto Hi Andressa..Thank You????	"Florida, USA"						
								
								
								
Mon Nov 02 22:48:37 +0000 2015	The grading period just started and I already feel overwhelmed ??	Miami						
								
								
								
Mon Nov 02 22:48:38 +0000 2015	There kitties in the closet.... Get yours today! #kitty #pcfm #platosclosetfortmyers #dress #meow… https://t.co/unxbRmDYfJ	"Fort Myers, FL"	kitty					
			pcfm					
			platosclosetfortmyers					
			dress					
			meow					
Mon Nov 02 22:48:39 +0000 2015	You're so cute  https://t.co/wAEZ5XNY7f	Orlando/Baltimore 						
								
								
								
Mon Nov 02 22:48:42 +0000 2015	"Oracle: Applications Sales Representative III (#Miami, FL) https://t.co/mQtsmip3kN #Sales #Job #Jobs #Hiring #CareerArc"	USA-FL-Miami Metro	Miami					
			Sales					
			Job					
			Jobs					
			Hiring					
			CareerArc					
Mon Nov 02 22:48:44 +0000 2015	@BritishMonarchy @MaryMagD1701 @Pontifex As a turnabout for 2015 we gave them the Tea Party get it dumbest political party human history??????	Washington D.C.						
								
								
								
Mon Nov 02 22:48:45 +0000 2015	@Carolina_LaO Es la única forma de hacer todo lo que quieres realizar ... con amor y pasión! No hay obstáculo que te detenga de tu meta.	"Miami, United States"						
								
								
								
Mon Nov 02 22:48:46 +0000 2015	@AnezSez @ESPN580Nick  What happened to the race you where supposed to run?	null						
								
								
								
Mon Nov 02 22:48:46 +0000 2015	It's snowing pink flowers ?? #floridalife #pink #lifeisgood #ilovetampabay #brandon #nature @ Miss… https://t.co/UuJCYs43iO	null	floridalife					
			pink					
			lifeisgood					
			ilovetampabay					
			brandon					
			nature					
Mon Nov 02 22:48:47 +0000 2015	@Red_Moonzy moonzy pls rt tweet above	Hail Chapters Roster 						
								
								
								
Mon Nov 02 22:48:48 +0000 2015	@la_patilla why you like that for	null						
								
								
								
Mon Nov 02 22:48:49 +0000 2015	Thank you rosy I love youuuuu ?????? https://t.co/s6vbegcME1	Killadelphia						
								
								
								
Mon Nov 02 22:48:52 +0000 2015	@HelixStudios @KyleRossXXX @MaxCarterXXX Twinky wildlife	"Tampa, Florida"						
								
								
								
Mon Nov 02 22:48:54 +0000 2015	"@_PettyMonster ""don't leave EM Robbin, that's why they shot they daaaddyyyyy""??"	null						
								
								
								
Mon Nov 02 22:48:55 +0000 2015	I love you so much baby.. imy?	"jacksonville, FL"						
								
								
								
Mon Nov 02 22:48:56 +0000 2015	Every Six Seconds ~	Miami						
								
								
								
Mon Nov 02 22:49:02 +0000 2015	Yes? https://t.co/8D7ZWUtFUY	The Bahamas 						
								
								
								
								
								
								
								
Mon Nov 02 22:49:03 +0000 2015	"CORNER STORE WHITE TEE, THE BITCHES ON THE BEACH THINK I'M A FUCKING FASHION ICON..."	IX-0-IV?VII-II-VII						
								
								
								
Mon Nov 02 22:49:04 +0000 2015	.@casparberry adds WiFi to the foundation of #MaslowsHierarchyOfNeeds. Thank you! #TMRE15 #TMRE #ButterflyEffect	ATX	MaslowsHierarchyOfNeeds					
			TMRE15					
			TMRE					
			ButterflyEffect					
Mon Nov 02 22:49:04 +0000 2015	@1zzay @rr0za lmao well im glad. Lol	"21 Kissimmee, Fl."						
								
								
								
Mon Nov 02 22:49:04 +0000 2015	This is probably my favorite picture that I have EVER taken from the festival of fantasy ??????????????? @… https://t.co/zZI0oAEXZZ	null						
								
								
								
Mon Nov 02 22:49:04 +0000 2015	I would guess that conductors experience the kind of gratitude Sabrina Kay described last night.  #learning2015	"Denver, CO"	learning2015					
								
								
								
