created_at,text,entities__hashtags__text,entities__hashtags__text,
,,SpartanForLife,,
,,,,
Mon Nov 09 21:13:01 +0000 2015,"Nash do you kiss your ""girlfriend"" in the movie @Nashgrier @camerondallas #AskCamAndNash #AskNashAndCam",AskCamAndNash,,
,,AskNashAndCam,,
,,,,
,,,,
Mon Nov 09 21:13:04 +0000 2015,"@Jerrincoontz same, I'm from the south too and all my fam is there also, gatta move back soon",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:09 +0000 2015,I learned straight from a Japanese women how to say kawaii,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:10 +0000 2015,"Ммм. Здесь очень вкусный суп из чеддера с брокколи 👍 (at @PaneraBread in Miami Beach, FL) https://t.co/Q226B7naEt",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:12 +0000 2015,@KiddRyze agreed,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:12 +0000 2015,School is have me tired As hell .,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:14 +0000 2015,Whose hooping ?,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:18 +0000 2015,Don't be worried about who I like mhmmaky 😏,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:21 +0000 2015,I now notice my car is bad on gas,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:23 +0000 2015,I'm sooooo proud of you!!!!!!!🙂🙂 https://t.co/21Xd5vYyPt,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:23 +0000 2015,i can tell when my friends are upset.,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:24 +0000 2015,"Whip ain't got no gas tank, But it still got wood grain",,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:24 +0000 2015,@PiperDotsikas 😭❤️ happy birthday https://t.co/9LQrmP9kp3,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:25 +0000 2015,I wanna go sleep 😭,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:25 +0000 2015,Rebirth of the slick——> “Cool like that.”,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:25 +0000 2015,Hate when people get mad over every little thing 😒,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:26 +0000 2015,@angieelynnr @G_Eazy AND IM IN FORT MYERS R U KIDDING ME,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:29 +0000 2015,Lol literally me  https://t.co/G8ttkT6usQ,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:29 +0000 2015,Justin Biebers new song is life ❤❤❤,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:31 +0000 2015,https://t.co/oifmqB0VyN  Hot single from the #EP coming 2016,EP,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:31 +0000 2015,6 hours in Miami. Run Forest Run! @ Bubba Gump Shrimp Co. Miami https://t.co/vG3igikGfP,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:31 +0000 2015,que fula  https://t.co/LngiYfRhf4,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:33 +0000 2015,@Ieansquad killed that shit tho😂,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:35 +0000 2015,@juulianapaiva Juliana entra aqui VemCassandra,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:36 +0000 2015,This is how I choose to remember us. This photo is my favorite and you're my favorite. @Rachel_Lynn100 https://t.co/IHWpUWRQMz,,,
,,,,
,,,,
,,,,
Mon Nov 09 21:13:37 +0000 2015,"Can you recommend anyone for this #Sales #job? https://t.co/VENvs1yRoT #Miami, FL #Veterans #Hiring #CareerArc",Sales,,
,,job,,
,,Miami,,
,,Veterans,,
,,Hiring,,
,,CareerArc,,
Mon Nov 09 21:13:39 +0000 2015,"Can you recommend anyone for this #job? https://t.co/qjivhZ2gtx #NAPLES, FL #Hiring",job,,
,,NAPLES,,
,,Hiring,,
,,,,
Mon Nov 09 21:13:39 +0000 2015,That moment you splash crock pot pot roast all over your face & the kitchen. Wifing is hard!,,,
,,,,
,,,,
,,,,
